city,latitude,longitude,host
San Francisco,37.7621,-122.3971,199.232.241.164
Kansas City,39.09973,-94.57857,34.102.239.134
Stockholm,59.32938,18.06871,151.101.85.164
Ashburn,39.04372,-77.48749,timesmachine.nytimes.com
Washington,38.89511,-77.03637,146.75.37.112
Ashburn,39.04372,-77.48749,34.236.169.13
San Francisco,37.7621,-122.3971,167.82.109.112
San Francisco,37.7621,-122.3971,146.75.69.164
Ashburn,39.04372,-77.48749,timesmachine.nytimes.com
San Francisco,37.7621,-122.3971,199.232.209.112
San Francisco,37.7621,-122.3971,199.232.173.112
Houston,29.76328,-95.36327,151.101.181.112
Ashburn,39.04372,-77.48749,timesmachine.nytimes.com
Kansas City,39.09973,-94.57857,34.120.249.209
Brussels,50.85045,4.34878,151.101.9.112
Ashburn,39.04372,-77.48749,54.82.63.190
Ashburn,39.04372,-77.48749,52.4.7.211
San Francisco,37.7621,-122.3971,151.101.157.164
Kansas City,39.09973,-94.57857,34.102.238.120
Ashburn,39.04372,-77.48749,54.198.23.140
San Francisco,37.7621,-122.3971,146.75.37.164
Kansas City,39.09973,-94.57857,34.102.134.117
Denver,39.73915,-104.9847,151.101.69.112
Kansas City,39.09973,-94.57857,34.110.223.64
Kansas City,39.09973,-94.57857,35.227.239.193
Redwood City,37.5331,-122.2486,jobs.nytimes.com
Boston,42.35843,-71.05977,151.101.117.164
Boston,42.35843,-71.05977,199.232.185.112
Kansas City,39.09973,-94.57857,35.201.102.123
Lima,-12.04318,-77.02824,199.232.133.164
Kansas City,39.09973,-94.57857,35.201.112.91
Kitchener,43.4581,-80.4818,205.210.143.80
Kansas City,39.09973,-94.57857,34.110.238.237
San Francisco,37.7621,-122.3971,167.82.109.164
San Francisco,37.7621,-122.3971,199.232.193.164
Chicago,41.85003,-87.65005,146.75.77.164
Brussels,50.85045,4.34878,151.101.9.164
Rio de Janeiro,-22.90642,-43.18223,151.101.177.112
Kansas City,39.09973,-94.57857,35.244.149.127
Vienna,48.20849,16.37208,ezproxy.billrothhaus.at
Kansas City,39.09973,-94.57857,34.95.86.198
St. Louis,38.62727,-90.19789,199.232.69.112
San Francisco,37.7621,-122.3971,199.232.169.164
Kansas City,39.09973,-94.57857,34.111.112.134
Kansas City,39.09973,-94.57857,35.186.221.112
San Francisco,37.7621,-122.3971,199.232.225.164
