metro,provider,name,lat,lon
"Zhangjiakou , China",Alibaba Cloud,cn-zhangjiakou,40.78341,114.87139
"Bogotá , Colombia",Oracle Cloud,,4.60971,-74.08175
"Copenhagen , Denmark",Microsoft Azure,denmarkeast,55.67594,12.56553
"Hamina , Finland",Google Cloud,europe-north1,60.56974,27.19794
"Helsinki , Finland",Microsoft Azure,,60.16952,24.93545
"Marseille , France",Microsoft Azure,francesouth,43.29695,5.38107
"Marseille , France",Oracle Cloud,eu-marseille-1,43.29695,5.38107
"Paris , France",Amazon Web Services,eu-west-3,48.85341,2.3488
"Paris , France",Google Cloud,europe-west9,48.85341,2.3488
"Paris , France",Microsoft Azure,francecentral,48.85341,2.3488
"Paris , France",Oracle Cloud,eu-paris-1,48.85341,2.3488
"Berlin , Germany",Google Cloud,,52.52437,13.41053
"Berlin , Germany",Microsoft Azure,germanynorth,52.52437,13.41053
"Frankfurt , Germany",Alibaba Cloud,eu-central-1,50.11552,8.68417
"Frankfurt , Germany",Amazon Web Services,eu-central-1,50.11552,8.68417
"Frankfurt , Germany",Google Cloud,europe-west3,50.11552,8.68417
"Frankfurt , Germany",IBM Cloud,eu-de,50.11552,8.68417
"Frankfurt , Germany",Microsoft Azure,germanywestcentral,50.11552,8.68417
"Frankfurt , Germany",Oracle Cloud,eu-frankfurt-1,50.11552,8.68417
"Frankfurt , Germany",Oracle Cloud,,50.11552,8.68417
"Frankfurt , Germany",Tencent Cloud,eu-frankfurt,50.11552,8.68417
"Athens , Greece",Google Cloud,,37.98376,23.72784
"Athens , Greece",Microsoft Azure,greececentral,37.98376,23.72784
"Chennai , India",IBM Cloud,in-che-1,13.08784,80.27847
"Chennai , India",Microsoft Azure,southindia,13.08784,80.27847
"Delhi , India",Google Cloud,asia-south2,28.65195,77.23149
"Hyderabad , India",Amazon Web Services,ap-south-2,17.38405,78.45636
"Hyderabad , India",Microsoft Azure,,17.38405,78.45636
"Hyderabad , India",Oracle Cloud,ap-hyderabad-1,17.38405,78.45636
"Mumbai , India",Alibaba Cloud,ap-south-1,19.07283,72.88261
"Mumbai , India",Amazon Web Services,ap-south-1,19.07283,72.88261
"Mumbai , India",Google Cloud,asia-south1,19.07283,72.88261
"Mumbai , India",Microsoft Azure,westindia,19.07283,72.88261
"Mumbai , India",Oracle Cloud,ap-mumbai-1,19.07283,72.88261
"Mumbai , India",Tencent Cloud,ap-mumbai,19.07283,72.88261
"Pune , India",Microsoft Azure,centralindia,18.51957,73.85535
"Jakarta , Indonesia",Alibaba Cloud,ap-southeast-5,-6.21462,106.84513
"Jakarta , Indonesia",Amazon Web Services,ap-southeast-3,-6.21462,106.84513
"Jakarta , Indonesia",Google Cloud,asia-southeast2,-6.21462,106.84513
"Jakarta , Indonesia",Huawei Cloud,ap-southeast-4,-6.21462,106.84513
"Jakarta , Indonesia",Microsoft Azure,indonesiacentral,-6.21462,106.84513
"Jakarta , Indonesia",Tencent Cloud,ap-jakarta,-6.21462,106.84513
"Dublin , Ireland",Amazon Web Services,eu-west-1,53.33306,-6.24889
"Dublin , Ireland",Huawei Cloud,eu-west-101,53.33306,-6.24889
"Dublin , Ireland",Microsoft Azure,northeurope,53.33306,-6.24889
"Jerusalem , Israel",Oracle Cloud,il-jerusalem-1,31.76904,35.21633
"Tel Aviv , Israel",Amazon Web Services,,32.08088,34.78057
"Tel Aviv , Israel",Google Cloud,me-west1,32.08088,34.78057
"Tel Aviv , Israel",Microsoft Azure,israelcentral,32.08088,34.78057
"Tel Aviv , Israel",Oracle Cloud,,32.08088,34.78057
"Milan , Italy",Amazon Web Services,eu-south-1,45.46427,9.18951
"Milan , Italy",Google Cloud,europe-west8,45.46427,9.18951
"Milan , Italy",Microsoft Azure,italynorth,45.46427,9.18951
"Milan , Italy",Oracle Cloud,eu-milan-1,45.46427,9.18951
"Turin , Italy",Google Cloud,,45.07049,7.68682
"Osaka , Japan",Amazon Web Services,ap-northeast-3,34.69374,135.50218
"Osaka , Japan",Google Cloud,asia-northeast2,34.69374,135.50218
"Osaka , Japan",IBM Cloud,jp-osa,34.69374,135.50218
"Osaka , Japan",Microsoft Azure,japanwest,34.69374,135.50218
"Osaka , Japan",Oracle Cloud,ap-osaka-1,34.69374,135.50218
"Tokyo , Japan",Alibaba Cloud,ap-northeast-1,35.6895,139.69171
"Tokyo , Japan",Amazon Web Services,ap-northeast-1,35.6895,139.69171
"Tokyo , Japan",Google Cloud,asia-northeast1,35.6895,139.69171
"Tokyo , Japan",IBM Cloud,jp-tok,35.6895,139.69171
"Tokyo , Japan",Microsoft Azure,japaneast,35.6895,139.69171
"Tokyo , Japan",Oracle Cloud,ap-tokyo-1,35.6895,139.69171
"Tokyo , Japan",Tencent Cloud,ap-tokyo,35.6895,139.69171
"Kuala Lumpur , Malaysia",Alibaba Cloud,ap-southeast-3,3.1412,101.68653
"Kuala Lumpur , Malaysia",Amazon Web Services,,3.1412,101.68653
"Kuala Lumpur , Malaysia",Google Cloud,,3.1412,101.68653
"Kuala Lumpur , Malaysia",Microsoft Azure,malaysiawest,3.1412,101.68653
"Mexico City , Mexico",Huawei Cloud,na-mexico-1,19.42847,-99.12766
"Querétaro , Mexico",Google Cloud,,20.58806,-100.38806
"Querétaro , Mexico",Microsoft Azure,mexicocentral,20.58806,-100.38806
"Querétaro , Mexico",Oracle Cloud,mx-queretaro-1,20.58806,-100.38806
"Amsterdam , Netherlands",Microsoft Azure,westeurope,52.37403,4.88969
"Amsterdam , Netherlands",Oracle Cloud,eu-amsterdam-1,52.37403,4.88969
"Groningen , Netherlands",Google Cloud,europe-west4,53.21917,6.56667
"Auckland , New Zealand",Amazon Web Services,ap-east-2,-36.84853,174.76349
"Auckland , New Zealand",Google Cloud,,-36.84853,174.76349
"Auckland , New Zealand",Microsoft Azure,newzealandnorth,-36.84853,174.76349
"Oslo , Norway",Google Cloud,,59.91273,10.74609
"Oslo , Norway",Microsoft Azure,norwayeast,59.91273,10.74609
"Stavanger , Norway",Microsoft Azure,norwaywest,58.97005,5.73332
"Lima , Peru",Huawei Cloud,sa-peru-1,-12.04318,-77.02824
"Manila , Philippines",Alibaba Cloud,ap-southeast-6,14.6042,120.9822
"Warsaw , Poland",Google Cloud,europe-central2,52.22977,21.01178
"Warsaw , Poland",Microsoft Azure,polandcentral,52.22977,21.01178
"Doha , Qatar",Google Cloud,,25.28545,51.53096
"Doha , Qatar",Microsoft Azure,qatarcentral,25.28545,51.53096
"Dammam , Saudi Arabia",Google Cloud,,26.43442,50.10326
"Jeddah , Saudi Arabia",Oracle Cloud,me-jeddah-1,21.49012,39.18624
"Riyadh , Saudi Arabia",Alibaba Cloud,me-east-1,24.68773,46.72185
"Riyadh , Saudi Arabia",Huawei Cloud,,24.68773,46.72185
"Riyadh , Saudi Arabia",Oracle Cloud,,24.68773,46.72185
"Kragujevac , Serbia",Oracle Cloud,,44.01667,20.91667
"Singapore , Singapore",Alibaba Cloud,ap-southeast-1,1.36667,103.8
"Singapore , Singapore",Amazon Web Services,ap-southeast-1,1.36667,103.8
"Singapore , Singapore",Google Cloud,asia-southeast1,1.36667,103.8
