metro,provider,name,lat,lon
"Columbus , United States",Google Cloud, cmh-zone1-2377,39.96118,-82.99879
"Council Bluffs , United States",Google Cloud, cbf-zone1-575,41.26194,-95.86083
"Dallas , United States",Amazon Web Services, us-east-1-dfw-1a,32.78306,-96.80667
"Denver , United States",Amazon Web Services, us-west-2-den-1a,39.73915,-104.9847
"Fresno , United States",Amazon Web Services, us-west-2-pdx-1a,36.74773,-119.77237
"Houston , United States",Amazon Web Services, us-east-1-iah-1a,29.76328,-95.36327
"Kansas City , United States",Amazon Web Services, us-east-1-mci-1a,39.09973,-94.57857
"Las Vegas , United States",Amazon Web Services, us-west-2-las-1a,36.17497,-115.13722
"Las Vegas , United States",Google Cloud, las-zone1-770,36.17497,-115.13722
"Los Angeles , United States",Amazon Web Services, us-west-2-lax-1a,34.05223,-118.24368
"Los Angeles , United States",Google Cloud, lax-zone1-8,34.05223,-118.24368
"Los Angeles , United States",Google Cloud, lax-zone1-19,34.05223,-118.24368
"Los Angeles , United States",Google Cloud, lax-zone1-403,34.05223,-118.24368
"Los Angeles , United States",Google Cloud, lax-zone1-333,34.05223,-118.24368
"Miami , United States",Amazon Web Services, us-east-1-mia-1a,25.77427,-80.19366
"Minneapolis-St. Paul , United States",Amazon Web Services, us-east-1-msp-1a,45.10336,-93.27531
"New York , United States",Amazon Web Services, us-east-1-nyc-1a,40.71427,-74.00597
"Philadelphia , United States",Amazon Web Services, us-east-1-phl-1a,39.95238,-75.16362
"Phoenix , United States",Amazon Web Services, us-west-2-phx-1a,33.44838,-112.07404
